,title,price,link
0,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹48,590",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP92OZVPB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_TIlJMrMwea24nLvHPo427ovPwhpBN1pDFW3m6ZCynyRsLsPmzn6wtkSQW18dRiatLCKcdjRMK54T7QlPpsdb2g%3D%3D&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
1,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹76,990",/lenovo-ideapad-gaming-3-ryzen-7-octa-core-amd-r7-5800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-gaming3-15ach6d2-laptop/p/itmd92c6762aa792?pid=COMGGMRSDDRGKFGU&lid=LSTCOMGGMRSDDRGKFGUW00GQI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_TIlJMrMwea24nLvHPo427ovPwhpBN1pDFW3m6ZCynyTC9QyyFVCnxk9ngZRAHUtHrysH0ZXA6zuHVAJINhk52w%3D%3D&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
2,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹33,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
3,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,"₹43,990",/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
4,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹55,990",/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
5,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"₹55,990",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
6,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"₹40,990",/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
7,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹68,840",/lenovo-ideapad-gaming-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNLFBEJ0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_TIlJMrMwea24nLvHPo427ovPwhpBN1pDFW3m6ZCynyQ2yBvmyhNUgollXEW8%2FvuFZjVCOTlzjdgjWzUGAkJMhg%3D%3D&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
8,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹60,990",/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
9,HP Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,"₹58,499",/hp-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14s-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=a3a6b822-ef30-4375-8093-534c7f92528b.COMGG3S93DSUQPMU.SEARCH&ppt=None&ppn=None&ssid=d8tk4773v40000001664602187342&qH=c06ea84a1e3dc3c6
